test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
test_set_1,9,10,0.24875,0.13129577401358938,0.73922366,0.24093264248704663,0.0,0.24958494742667406,0.0,0.093,0.0,0.902,0.0,0.60928744,nan,0.753598,nan
test_set_1,19,10,0.2495,0.13223400778622152,0.73124164,0.2171945701357466,0.0,0.253513209668353,0.0,0.096,0.0,0.902,0.0,0.5993621,nan,0.74166656,nan
test_set_1,0,20,0.2565,0.1674541271327182,0.7454196,0.25,0.0,0.2602040816326531,0.0,0.363,0.0,0.663,0.0,0.7127786,nan,0.77388364,nan
test_set_1,1,20,0.25075,0.16288308227062345,0.74521214,0.2437095614665708,0.0,0.2545036412418551,0.0,0.339,0.0,0.664,0.0,0.71086496,nan,0.76729244,nan
test_set_1,3,20,0.25325,0.1663832940170524,0.7432868,0.25718194254445964,0.0,0.25098502758077224,0.0,0.376,0.0,0.637,0.0,0.7060641,nan,0.75928456,nan
test_set_1,5,20,0.25725,0.1669556762772783,0.74613976,0.24767358625626343,0.0,0.26238955051863233,0.0,0.346,0.0,0.683,0.0,0.715642,nan,0.7682619,nan
test_set_1,7,20,0.26075,0.17047043182334756,0.749682,0.25998598458304134,0.0,0.26117372716673143,0.0,0.371,0.0,0.672,0.0,0.7150132,nan,0.77591217,nan
test_set_1,9,20,0.24725,0.1606580903966525,0.746574,0.23566433566433567,0.0,0.2536964980544747,0.0,0.337,0.0,0.652,0.0,0.70212716,nan,0.77149737,nan
test_set_1,19,20,0.24825,0.16261455278592377,0.74477625,0.2445945945945946,0.0,0.2503968253968254,0.0,0.362,0.0,0.631,0.0,0.71271956,nan,0.7722423,nan
test_set_1,0,30,0.24975,0.1664703592248364,0.7855973,0.25061064973131414,0.0,0.2488479262672811,0.0,0.513,0.0,0.486,0.0,0.80143946,nan,0.77080667,nan
test_set_1,1,30,0.257,0.1711115470382368,0.7893595,0.26076668244202555,0.0,0.2527821939586645,0.0,0.551,0.0,0.477,0.0,0.79390246,nan,0.78995997,nan
test_set_1,3,30,0.2515,0.16759457927093638,0.78631496,0.2531400966183575,0.0,0.24974093264248703,0.0,0.524,0.0,0.482,0.0,0.78982425,nan,0.770996,nan
test_set_1,5,30,0.2555,0.1703659188034188,0.7853501,0.24952830188679245,0.0,0.2622340425531915,0.0,0.529,0.0,0.493,0.0,0.7977973,nan,0.78186893,nan
test_set_1,7,30,0.25275,0.16851026547822887,0.78386474,0.25,0.0,0.2556008146639511,0.0,0.509,0.0,0.502,0.0,0.7812986,nan,0.7774854,nan
test_set_1,9,30,0.24775,0.16517518342609672,0.78959805,0.24488802336903603,0.0,0.25077081192189105,0.0,0.503,0.0,0.488,0.0,0.79274106,nan,0.78267807,nan
