test_set,blur_size,noise_level,accuracy,f1,confidence_overall,precision_immune,precision_other,precision_stromal,precision_tumour,recall_immune,recall_other,recall_stromal,recall_tumour,confidence_immune,confidence_other,confidence_stromal,confidence_tumour
1,9,30,0.25,0.10004001600640255,0.95246047,0.0,0.0,0.25012506253126565,0.0,0.0,0.0,1.0,0.0,nan,nan,0.96650463,nan
1,19,30,0.25025,0.10053901800241054,0.95379823,0.0,0.5,0.25012506253126565,0.0,0.0,0.001,1.0,0.0,nan,0.6454989,0.96781695,nan
2,0,0,0.599,0.5412225783815248,0.6371797,0.6070656092285508,0.37566137566137564,0.512884455527847,0.7092547092547092,0.842,0.071,0.617,0.866,0.75013554,0.48119095,0.65574306,0.6732913
2,1,0,0.5685,0.49577783163375555,0.66456825,0.4997217584863662,0.3247863247863248,0.5896414342629482,0.6706676669167292,0.898,0.038,0.444,0.894,0.8006551,0.50354487,0.6504826,0.69906175
2,3,0,0.51575,0.45808713524010897,0.6290633,0.5446082234290147,0.29017857142857145,0.5960665658093798,0.4939759036144578,0.702,0.065,0.394,0.902,0.7113312,0.54307395,0.6064154,0.7092922
2,5,0,0.39725,0.3806376397617402,0.6092548,0.558091286307054,0.1796116504854369,0.5971830985915493,0.37701612903225806,0.269,0.148,0.424,0.748,0.5807113,0.63585013,0.60165775,0.6740552
2,7,0,0.35225,0.3471189608002156,0.6174717,0.5454545454545454,0.1813620071684588,0.5746835443037974,0.35844155844155845,0.15,0.253,0.454,0.552,0.54718304,0.6612635,0.61231816,0.6266764
2,9,0,0.3375,0.33911406228923124,0.62689817,0.576,0.18742857142857142,0.5547866205305652,0.3503971756398941,0.144,0.328,0.481,0.397,0.53869355,0.6760698,0.62294585,0.58792776
2,19,0,0.318,0.30529048436190837,0.66176313,0.5813008130081301,0.19622475856014046,0.5074074074074074,0.3383838383838384,0.143,0.447,0.548,0.134,0.546904,0.6981271,0.6431117,0.4866201
2,0,1,0.599,0.5433800490059664,0.63808334,0.6246200607902735,0.3712871287128713,0.5023961661341853,0.7073170731707317,0.822,0.075,0.629,0.87,0.7477565,0.48260635,0.66153514,0.6754507
2,1,1,0.57,0.4989672650810194,0.66381174,0.5116279069767442,0.3412698412698413,0.57125,0.6646971935007385,0.88,0.043,0.457,0.9,0.7954482,0.50226915,0.6611872,0.70510274
2,3,1,0.5115,0.45947720554674737,0.6341719,0.5756227758007118,0.2748091603053435,0.5846153846153846,0.4786729857819905,0.647,0.072,0.418,0.909,0.7001338,0.55391943,0.62478095,0.7222179
